"location_id","location_type__001","location_type__002","location_type__003","location_type__004","open_soon","latitude","longitude"
"3rdstreetpromenade","store","","","","0","34.0182340000","-118.4983670000"
"aichstettensupercharger","supercharger","standard charger","","","0","47.8803440000","10.0403420000"
"albanysupercharger","supercharger","standard charger","","","0","42.7103560000","-73.8191090000"
"albertleasupercharger","supercharger","standard charger","","","0","43.6860600000","-93.3577210000"
"angolasupercharger","supercharger","standard charger","","","0","41.6990480000","-85.0003260000"
"arbogasupercharger","supercharger","standard charger","","","0","59.4263610000","15.8270830000"
"atascaderosupercharger","supercharger","standard charger","","","0","35.4865850000","-120.6663780000"
"aurlandsupercharger","supercharger","standard charger","","","0","60.8986490000","7.2108260000"
"auxerresupercharger","supercharger","standard charger","","","0","47.8522907700","3.5434028150"
"badrappenausupercharger","supercharger","standard charger","","","0","49.2119360000","9.0773220000"
"baselmohlin","store","service","","","0","47.5769950000","7.8411580000"
"beaversupercharger","supercharger","standard charger","","","0","38.2491490000","-112.6525240000"
"bellevuesquare","store","","","","0","47.6166710000","-122.2037650000"
"bergen","store","","","","0","60.3650820000","5.3426780000"
"berlinkurfuerstendamm","store","","","","0","52.5034200000","13.3279700000"
"billingssupercharger","supercharger","standard charger","","","0","45.7340460000","-108.6049320000"
"birmingham","store","service","","","0","52.4740050000","-1.8809450000"
"blandingsupercharger","supercharger","standard charger","","","0","37.6256180000","-109.4738420000"
"breamall","store","","","","0","33.9153838000","-117.8875168000"
"buckeyesupercharger","supercharger","standard charger","","","0","33.4430110000","-112.5568760000"
"buelltonsupercharger","supercharger","standard charger","","","0","34.6145550000","-120.1884320000"
"burlingame","store","service","standard charger","","0","37.5931280000","-122.3673060000"
"burlingtonncsupercharger","supercharger","standard charger","","","0","36.0707880000","-79.5112220000"
"burlingtonsupercharger","supercharger","standard charger","","","0","48.5097710000","-122.3386270000"
"centinela","store","service","","","0","33.9758500000","-118.3829230000"
"centraliasupercharger","supercharger","standard charger","","","0","46.7298720000","-122.9773920000"
"centurycity","store","","","","0","34.0581260000","-118.4182140000"
"chamberysupercharger","supercharger","standard charger","","","0","45.5922270000","5.8998420000"
"chassesurrhonesupercharger","supercharger","standard charger","","","0","45.5869300000","4.7878070000"
"chengdugaoxin","store","service","supercharger","standard charger","0","30.5885590000","104.0294970000"
"cheyennesupercharger","supercharger","standard charger","","","0","41.1610850000","-104.8049550000"
"chicagograndave","store","service","standard charger","","0","41.8908330000","-87.6542180000"
"columbusmorseroadservice","service","standard charger","","","0","40.0583524000","-82.9278916000"
"columbussupercharger","supercharger","standard charger","","","0","29.6900660000","-96.5377270000"
"corningsupercharger","supercharger","standard charger","","","0","39.9264600000","-122.1984000000"
"costamesa","store","","","","0","33.6774119000","-117.8798380000"
"cranberrytownshipsupercharger","supercharger","standard charger","","","0","40.6835080000","-80.1083270000"
"dadeland","store","","","","0","25.6898826000","-80.3142279000"
"daniabeach","store","service","","","0","26.0545388000","-80.1632571000"
"dariennorthsupercharger","supercharger","standard charger","","","0","41.0801030000","-73.4613500000"
"dariensouthsupercharger","supercharger","standard charger","","","0","41.0673060000","-73.5049170000"
"dedham","store","service","supercharger","standard charger","0","42.2359620000","-71.1782120000"
"denhaag","store","service","","","0","52.0703108000","4.3908317000"
"detroitlakesupercharger","supercharger","standard charger","","","0","44.7370250000","-122.1521080000"
"devon","store","service","standard charger","","0","40.0458650000","-75.4332790000"
"dombassupercharger","supercharger","standard charger","","","0","62.0739230000","9.1255620000"
"drammen","store","service","","","0","59.7303820000","10.2202520000"
"eastgreenwichsupercharger","supercharger","standard charger","","","0","41.6605170000","-71.4972420000"
"eastontowncenter","store","standard charger","","","0","40.0500870000","-82.9151650000"
"eauclairesupercharger","supercharger","standard charger","","","0","44.7708300000","-91.4371100000"
"eindhoven","store","","","","0","51.4816270000","5.4553170000"
"emsburensupercharger","supercharger","standard charger","","","0","52.3592410000","7.2642150000"
"falkenbergsupercharger","supercharger","standard charger","","","0","56.9319300000","12.5180500000"
"farmingtonsupercharger","supercharger","standard charger","","","0","36.7663150000","-108.1442660000"
"fashionisland","store","standard charger","","","0","33.6144050000","-117.8728630000"
"fashionsquare","store","standard charger","","","0","33.5031670000","-111.9296800000"
"folsompremiumoutletssupercharger","supercharger","standard charger","","","0","38.6422910000","-121.1881300000"
"fortmyerssupercharger","supercharger","standard charger","","","0","26.4855740000","-81.7871490000"
"frankfurthanauerlandstrasse","store","service","","","0","50.1328490000","8.7658610000"
"fremont","store","supercharger","standard charger","","0","37.4924390000","-121.9447250000"
"gallupsupercharger","supercharger","standard charger","","","0","35.5052780000","-108.8280940000"
"gardenstateplaza","store","standard charger","","","0","40.9175177000","-74.0769911000"
"gilabendsupercharger","supercharger","standard charger","","","0","32.9436750000","-112.7340810000"
"glenallensupercharger","supercharger","standard charger","","","0","37.6697600000","-77.4614140000"
"glenwoodspringssupercharger","supercharger","standard charger","","","0","39.5526760000","-107.3401710000"
"golsupercharger","supercharger","standard charger","","","0","60.7023330000","8.9860000000"
"goodlandsupercharger","supercharger","standard charger","","","0","39.3262580000","-101.7251070000"
"gramschatzerwaldsupercharger","supercharger","standard charger","","","0","49.9115786400","10.0014063300"
"grandjunctionsupercharger","supercharger","standard charger","","","0","39.0907580000","-108.6043250000"
"graz","store","service","supercharger","standard charger","0","47.0370432000","15.4783312000"
"greenriversupercharger","supercharger","standard charger","","","0","38.9935770000","-110.1405130000"
"greenwichnorthsupercharger","supercharger","standard charger","","","0","41.0415380000","-73.6716610000"
"greenwichsouthsupercharger","supercharger","standard charger","","","0","41.0405550000","-73.6734450000"
"hagerstownsupercharger","supercharger","standard charger","","","0","39.6058590000","-77.7333240000"
"hamburg","store","service","","","0","53.6683462000","9.9923687000"
"hangzhouxiachengsupercharger","supercharger","standard charger","","","0","30.3136880000","120.1646020000"
"hayssupercharger","supercharger","standard charger","","","0","38.9004261100","-99.3185626400"
"highlandpark","store","service","supercharger","standard charger","0","42.1742546000","-87.8161958000"
"hohenwarslebensupercharger","supercharger","standard charger","","","0","52.1745370000","11.4930010000"
"holbrooksupercharger","supercharger","standard charger","","","0","34.9229620000","-110.1455580000"
"hopewellcentresupercharger","supercharger","standard charger","","","0","22.2744950000","114.1714290000"
"houstongalleria","store","standard charger","","","0","29.7374320000","-95.4634470000"
"huntsvillesupercharger","supercharger","standard charger","","","0","30.7161580000","-95.5659440000"
"jacksonville","store","","","","0","30.2532099000","-81.5256754000"
"jettingensupercharger","supercharger","standard charger","","","0","48.4110540000","10.4404200000"
"jfksupercharger","supercharger","standard charger","","","0","40.6631900000","-73.7931920000"
"jiadingsupercharger","supercharger","standard charger","","","0","31.2796900000","121.1676600000"
"kaitaksupercharger","supercharger","standard charger","","","0","22.3069890000","114.2126480000"
"kamensupercharger","supercharger","standard charger","","","0","51.5701950000","7.6752670000"
"karlstadsupercharger","supercharger","standard charger","","","0","59.3814820000","13.4672940000"
"kingofprussia","store","","","","0","40.0891852000","-75.3931463000"
"kingmansupercharger","supercharger","standard charger","","","0","35.1913310000","-114.0655920000"
"kobenhavnnbredgade","store","","","","0","55.6826470000","12.5886870000"
"lacrossesupercharger","supercharger","standard charger","","","0","43.8790420000","-91.1884280000"
"lasvegas","store","service","standard charger","","0","36.0623870000","-115.2283880000"
"lasvegassupercharger","supercharger","standard charger","","","0","36.1659060000","-115.1386550000"
"liersouthsupercharger","supercharger","standard charger","","","0","59.7662590000","10.2578380000"
"lillehammersupercharger","supercharger","standard charger","","","0","61.1304640000","10.4349180000"
"limonsupercharger","supercharger","standard charger","","","0","39.2693736900","-103.7087172000"
"ljubljanasupercharger","supercharger","standard charger","","","0","46.0520570000","14.4531500000"
"loddekopingesupercharger","supercharger","standard charger","","","0","55.7663990000","12.9906710000"
"lullysupercharger","supercharger","standard charger","","","0","46.8322330000","6.8592690000"
"lusksupercharger","supercharger","standard charger","","","0","42.7562500000","-104.4526700000"
"lutterbergsupercharger","supercharger","standard charger","","","0","51.3709960000","9.6333070000"
"lyngdalsupercharger","supercharger","standard charger","","","0","58.1565200000","7.1029600000"
"macedoniasupercharger","supercharger","standard charger","","","0","41.3136146500","-81.5171092000"
"maconfrsupercharger","supercharger","standard charger","","","0","46.3465530000","4.8501730000"
"madisonsupercharger","supercharger","standard charger","","","0","43.1266900000","-89.3068960000"
"mariettasalesanddelivery","service","","","","0","33.9420850000","-84.5145940000"
"maumeesupercharger","supercharger","standard charger","","","0","41.5783300000","-83.6645930000"
"maustonsupercharger","supercharger","standard charger","","","0","43.7955510000","-90.0593580000"
"middelfartsupercharger","supercharger","standard charger","","","0","55.5107462800","9.7643237290"
"milfordnorthsupercharger","supercharger","standard charger","","","0","41.2458230000","-73.0090590000"
"milfordsouthsupercharger","supercharger","standard charger","","","0","41.2462420000","-73.0105220000"
"minamiaoyama","store","","","","0","35.6704406000","139.7186684000"
"mishawakasupercharger","supercharger","standard charger","","","0","41.7173370000","-86.1886300000"
"mississauga","service","","","","0","43.6473307000","-79.6880432000"
"mitchellsupercharger","supercharger","standard charger","","","0","43.7011290000","-98.0445000000"
"moabsupercharger","supercharger","standard charger","","","0","38.5731220000","-109.5523680000"
"montereyseaside","store","service","supercharger","","0","36.6171150000","-121.8438880000"
"montgomerymall","store","","","","0","39.0238760000","-77.1443520000"
"mtkisco","store","service","","","0","41.2126750000","-73.7274860000"
"munchbergnordsupercharger","supercharger","standard charger","","","0","50.2028720000","11.7765520000"
"munchenblumenstrasse","store","","","","0","48.1331580000","11.5726770000"
"munchenfeldkirchen","service","","","","0","48.1457610000","11.7417800000"
"murdosupercharger","supercharger","standard charger","","","0","43.8869150000","-100.7168870000"
"natickmall","store","","","","0","42.3012393000","-71.3817780000"
"nephisupercharger","supercharger","standard charger","","","0","39.6781110000","-111.8410030000"
"neworleans","service","","","","1","29.9510658000","-90.0715323000"
"newarksupercharger","supercharger","standard charger","","","1","40.7356570000","-74.1723667000"
"nimessupercharger","supercharger","standard charger","","","0","43.8153640000","4.3447210000"
"normalillinoissupercharger","supercharger","standard charger","","","0","40.5085620000","-88.9847380000"
"northparkcenter","store","standard charger","","","0","32.8688248000","-96.7737114000"
"oakbrookcenter","store","","","","0","41.8497614000","-87.9549746000"
"oklahomacity","service","","","","1","35.4675602000","-97.5164276000"
"oldorchard","store","","","","0","42.0569690000","-87.7499730000"
"omaha","service","","","","1","41.2523634000","-95.9979883000"
"oosterhoutsupercharger","supercharger","standard charger","","","0","51.6265730000","4.8698710000"
"oslonorth","store","service","","","0","59.9530260000","10.8876333000"
"paloalto","store","service","standard charger","","0","37.4111630000","-122.1242540000"
"parkmeadows","store","","","","0","39.5610436000","-104.8756401000"
"parkviewgreen","store","","","","0","39.9204100000","116.4502600000"
"pleasantprairiesupercharger","supercharger","standard charger","","","0","42.5187150000","-87.9504280000"
"plymouthsupercharger","supercharger","standard charger","","","0","35.8505870000","-76.7561160000"
"portorangesupercharger","supercharger","standard charger","","","0","29.1085710000","-81.0346030000"
"portstluciesupercharger","supercharger","standard charger","","","0","27.3129830000","-80.4066830000"
"quartzsitesupercharger","supercharger","standard charger","","","0","33.6607840000","-114.2418010000"
"raleigh","store","","","","0","35.9059644000","-78.7469035000"
"randerssupercharger","supercharger","standard charger","","","0","56.4330146800","10.0555836600"
"rapidcitysupercharger","supercharger","standard charger","","","0","44.1056010000","-103.2125690000"
"regensburgostsupercharger","supercharger","standard charger","","","0","48.9946938400","12.1506940000"
"rhudensupercharger","supercharger","standard charger","","","0","51.9472030000","10.1404770000"
"richfieldsupercharger","supercharger","standard charger","","","0","38.7879900000","-112.0851730000"
