"location_id","location_type__001","location_type__002","location_type__003","open_soon","latitude","longitude"
"dc15024","destination charger","standard charger","","0","45.4639920000","9.1757000000"
"dc15118","destination charger","standard charger","","0","45.9887560000","9.2609190000"
"dc15522","destination charger","standard charger","","0","46.5033450000","11.3695150000"
"dc18259","destination charger","standard charger","","0","52.5197110000","13.3902120000"
"dc18713","destination charger","standard charger","","0","44.4453340000","4.3670470000"
"dc14692","destination charger","standard charger","","0","48.9653450000","2.6727620000"
"dc15635","destination charger","standard charger","","0","43.7518430000","7.4447550000"
"sarnparksupercharger","supercharger","standard charger","","0","51.5353510000","-3.5776370000"
"dc11988","destination charger","standard charger","","0","51.6768960000","5.3325640000"
"dc9962","destination charger","standard charger","","0","47.3945000000","10.8876540000"
"dc14693","destination charger","standard charger","","0","57.5906510000","10.1887830000"
"dc15012","destination charger","standard charger","","0","48.1979050000","-1.7230150000"
"dc15289","destination charger","standard charger","","0","54.7907270000","11.8520760000"
"dc9750","standard charger","destination charger","","0","43.4922490000","16.5375240000"
"dc9794","destination charger","standard charger","","0","44.2847500000","12.3499180000"
"dc9795","destination charger","standard charger","","0","44.2847400000","12.3499470000"
"dc10817","destination charger","standard charger","","0","46.5330000000","12.1468290000"
"dc10836","destination charger","standard charger","","0","48.0416220000","0.3027650000"
"dc13906","destination charger","standard charger","","0","47.1512670000","13.5098770000"
"dc15210","destination charger","standard charger","","0","52.0533840000","1.0366730000"
"dc18392","destination charger","standard charger","","0","43.7714510000","11.2344810000"
"dc15502","destination charger","standard charger","","0","46.8312430000","12.7717210000"
"dc15678","destination charger","standard charger","","0","52.1240400000","5.2463450000"
"kristianstadsupercharger","supercharger","standard charger","","0","56.0232160000","14.1183100000"
"dc11134","destination charger","","","0","44.9706020000","-93.2782640000"
"dc18278","destination charger","standard charger","","0","-32.9207508000","151.7155217000"
"dc18415","destination charger","standard charger","","0","-37.7199780000","144.8929350000"
"dc10746","destination charger","standard charger","","0","36.4767150000","-5.0530160000"
"dc17852","destination charger","standard charger","","0","22.2867900000","114.1527840000"
"dc6126","destination charger","standard charger","","0","22.3193800000","113.9438700000"
"dc13199","destination charger","","","0","34.0032480000","-117.8296440000"
"dc13730","destination charger","","","0","36.2124490000","-86.6968380000"
"dc17443","destination charger","","","0","32.0394630000","-116.6542130000"
"dc13196","destination charger","","","0","33.8882890000","-117.5167950000"
"dc15350","destination charger","","","0","42.1885610000","-122.6970620000"
"dc16586","destination charger","","","0","27.9731120000","-82.8289090000"
"dc18576","destination charger","","","0","19.4212640000","-99.2872570000"
"dc13590","destination charger","","","0","36.0200980000","139.3218590000"
"dc17773","destination charger","standard charger","","0","43.9962000000","11.3315550000"
"sanfranciscovanness","store","service","","0","37.7844280000","-122.4218060000"
"austinpondsprings","service","","","0","30.4350120000","-97.7701360000"
"beijingjoycity","store","","","0","39.9249730000","116.5193410000"
"guangzhouhaizhu","service","","","0","23.0773920000","113.3100520000"
"kamen","store","","","0","51.5890670000","7.6601150000"
"ssnabruck","store","","","0","52.2821420000","8.0431390000"
"dc11794","destination charger","standard charger","","0","49.2751330000","-0.2491430000"
"dc15965","destination charger","standard charger","","0","51.7092300000","0.5079300000"
"dc14644","destination charger","standard charger","","0","49.1042030000","3.9812410000"
"dc14767","destination charger","standard charger","","0","45.5647150000","5.9192230000"
"dc16408","standard charger","destination charger","","0","44.5721980000","14.9001640000"
"dc11068","destination charger","standard charger","","0","45.5823450000","5.3075230000"
"dc9805","destination charger","standard charger","","0","44.8145700000","-0.5040410000"
"dc11864","destination charger","standard charger","","0","47.1271100000","10.2636130000"
"dc12118","destination charger","standard charger","","0","45.8303270000","6.5968750000"
"dc16143","destination charger","standard charger","","0","52.2661090000","7.9659020000"
"dc16990","destination charger","standard charger","","0","47.4259000000","13.9068650000"
"dc17742","destination charger","standard charger","","0","50.1697210000","8.4289990000"
"dc14018","destination charger","standard charger","","0","44.6455170000","-1.2545300000"
"dc12763","destination charger","standard charger","","0","43.1564870000","6.4773680000"
"dc14846","destination charger","standard charger","","0","43.9608140000","4.8740590000"
"dc10788","destination charger","standard charger","","0","42.6574620000","11.5142540000"
"dc11889","destination charger","standard charger","","0","61.1303160000","9.0821110000"
"dc12753","destination charger","standard charger","","0","47.9190940000","4.7374960000"
