STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
17,001,Adams,Illinois,67103,+39.943826,-091.328948
17,003,Alexander,Illinois,8238,+37.149251,-089.289666
17,005,Bond,Illinois,17768,+38.884622,-089.432819
17,007,Boone,Illinois,54165,+42.293981,-088.851989
17,009,Brown,Illinois,6937,+39.964815,-090.746466
17,011,Bureau,Illinois,34978,+41.382964,-089.423780
17,013,Calhoun,Illinois,5089,+39.123530,-090.638010
17,015,Carroll,Illinois,15387,+42.071879,-089.963255
17,017,Cass,Illinois,13642,+39.979866,-090.319209
17,019,Champaign,Illinois,201081,+40.128073,-088.233083
17,021,Christian,Illinois,34800,+39.525298,-089.254627
17,023,Clark,Illinois,16335,+39.351007,-087.800246
17,025,Clay,Illinois,13815,+38.716132,-088.490134
17,027,Clinton,Illinois,37762,+38.587753,-089.472099
17,029,Coles,Illinois,53873,+39.487297,-088.258277
17,031,Cook,Illinois,5194675,+41.865937,-087.757714
17,033,Crawford,Illinois,19817,+39.005690,-087.748024
17,035,Cumberland,Illinois,11048,+39.275965,-088.280887
17,037,DeKalb,Illinois,105160,+41.927172,-088.729460
17,039,De Witt,Illinois,16561,+40.171701,-088.908946
17,041,Douglas,Illinois,19980,+39.766826,-088.279794
17,043,DuPage,Illinois,916924,+41.849815,-088.071617
17,045,Edgar,Illinois,18576,+39.635942,-087.715370
17,047,Edwards,Illinois,6721,+38.402493,-088.040630
17,049,Effingham,Illinois,34242,+39.094723,-088.576033
17,051,Fayette,Illinois,22140,+38.997829,-089.033295
17,053,Ford,Illinois,14081,+40.527422,-088.217453
17,055,Franklin,Illinois,39561,+37.962135,-088.953316
17,057,Fulton,Illinois,37069,+40.521963,-090.119357
17,059,Gallatin,Illinois,5589,+37.770001,-088.238563
17,061,Greene,Illinois,13886,+39.372240,-090.373465
17,063,Grundy,Illinois,50063,+41.345274,-088.347437
17,065,Hamilton,Illinois,8457,+38.092156,-088.557747
17,067,Hancock,Illinois,19104,+40.425725,-091.203133
17,069,Hardin,Illinois,4320,+37.478453,-088.290573
17,071,Henderson,Illinois,7331,+40.828841,-090.944800
17,073,Henry,Illinois,50486,+41.348782,-090.134757
17,075,Iroquois,Illinois,29718,+40.763597,-087.834391
17,077,Jackson,Illinois,60218,+37.747793,-089.274031
17,079,Jasper,Illinois,9698,+39.003765,-088.159885
17,081,Jefferson,Illinois,38827,+38.308488,-088.910808
17,083,Jersey,Illinois,22985,+39.072862,-090.320420
17,085,Jo Daviess,Illinois,22678,+42.411324,-090.305944
17,087,Johnson,Illinois,12582,+37.474558,-088.882358
17,089,Kane,Illinois,515269,+41.918111,-088.331264
17,091,Kankakee,Illinois,113449,+41.148582,-087.850867
17,093,Kendall,Illinois,114736,+41.663724,-088.379066
17,095,Knox,Illinois,52919,+40.937032,-090.328601
17,097,Lake,Illinois,703462,+42.313072,-087.969458
17,099,LaSalle,Illinois,113924,+41.350798,-088.895997
17,101,Lawrence,Illinois,16833,+38.718291,-087.748328
17,103,Lee,Illinois,36031,+41.810242,-089.398207
17,105,Livingston,Illinois,38950,+40.907044,-088.573187
17,107,Logan,Illinois,30305,+40.140775,-089.361505
17,109,McDonough,Illinois,32612,+40.469472,-090.669344
17,111,McHenry,Illinois,308760,+42.271472,-088.349880
17,113,McLean,Illinois,169572,+40.494123,-088.954977
17,115,Macon,Illinois,110768,+39.851176,-088.947076
17,117,Macoupin,Illinois,47765,+39.194030,-089.877035
17,119,Madison,Illinois,269282,+38.801396,-090.018097
17,121,Marion,Illinois,39437,+38.590710,-089.016967
17,123,Marshall,Illinois,12640,+41.043034,-089.315638
17,125,Mason,Illinois,14666,+40.286475,-089.898924
17,127,Massac,Illinois,15429,+37.178592,-088.714109
17,129,Menard,Illinois,12705,+39.997260,-089.799507
17,131,Mercer,Illinois,16434,+41.214043,-090.687167
17,133,Monroe,Illinois,32957,+38.358529,-090.171163
17,135,Montgomery,Illinois,30104,+39.198961,-089.505319
