"location_id","location_type__001","location_type__002","location_type__003","open_soon","latitude","longitude"
"dc24376","destination charger","standard charger","","0","-34.7248210000","135.8695640000"
"dc24829","destination charger","standard charger","","0","-36.2907690000","174.8054890000"
"dc14268","destination charger","standard charger","","0","54.8893500000","10.4057470000"
"dc19884","destination charger","standard charger","","0","54.8562840000","10.5216620000"
"dc19885","destination charger","standard charger","","0","54.9415570000","10.2586250000"
"dc23538","destination charger","standard charger","","0","40.7143120000","-8.1199740000"
"dc16197","destination charger","standard charger","","0","47.5755060000","9.6112880000"
"dc22862","destination charger","standard charger","","0","44.7811600000","2.3515830000"
"dc25118","destination charger","standard charger","","0","46.4751030000","7.2845260000"
"dc25426","destination charger","standard charger","","0","48.2447270000","11.6542440000"
"dc13688","destination charger","standard charger","","0","48.6428820000","-2.3889920000"
"dc14588","destination charger","standard charger","","0","45.6419350000","13.7808070000"
"dc18363","destination charger","standard charger","","0","54.3797860000","10.9784010000"
"dc19610","destination charger","standard charger","","0","45.6396410000","4.7223100000"
"dc23064","destination charger","standard charger","","0","46.1628240000","-1.1509750000"
"dc12115","destination charger","standard charger","","0","43.6953220000","-0.3789790000"
"dc12437","destination charger","standard charger","","0","44.6169200000","8.0515900000"
"dc14072","destination charger","standard charger","","0","50.8777880000","-3.3790790000"
"dc14074","destination charger","standard charger","","0","53.7173620000","-1.3835670000"
"dc14400","destination charger","standard charger","","0","38.7169540000","-9.1433870000"
"dc14573","destination charger","standard charger","","0","44.6780700000","10.6892220000"
"dc14672","destination charger","standard charger","","0","44.4093000000","8.9354250000"
"dc15613","destination charger","standard charger","","0","46.4634940000","11.2783960000"
"dc15863","destination charger","standard charger","","0","46.7488030000","13.1451100000"
"dc16426","destination charger","standard charger","","0","47.8129580000","10.8970650000"
"dc16843","destination charger","standard charger","","0","47.4945190000","11.0939440000"
"dc17626","destination charger","standard charger","","0","46.0232290000","10.8781320000"
"dc18735","destination charger","standard charger","","0","47.6838570000","8.6296540000"
"dc19537","destination charger","standard charger","","0","49.6712010000","8.5860840000"
"dc19930","destination charger","standard charger","","0","48.5099970000","9.0598370000"
"dc22209","destination charger","standard charger","","0","43.9161770000","8.0916440000"
"dc22220","destination charger","standard charger","","0","45.4371390000","12.4379150000"
"dc23365","destination charger","standard charger","","0","52.3288310000","9.7760660000"
"dc23635","destination charger","standard charger","","0","49.9968640000","8.2807120000"
"dc23837","destination charger","standard charger","","0","45.4633960000","9.1826920000"
"dc23934","destination charger","standard charger","","0","42.0085390000","-1.6637850000"
"dc23973","destination charger","standard charger","","0","44.2001290000","12.4057250000"
"dc24385","destination charger","standard charger","","0","48.2239330000","12.6773430000"
"dc25012","destination charger","standard charger","","0","47.3158630000","7.6951670000"
"dc25184","destination charger","standard charger","","0","49.8046360000","10.1699650000"
"dc25254","destination charger","standard charger","","0","47.4624650000","10.6200570000"
"dc25427","destination charger","standard charger","","0","43.9068550000","11.4399280000"
"dc14665","destination charger","standard charger","","0","36.3741810000","-6.1840880000"
"dc20341","destination charger","standard charger","","0","40.6299020000","14.3911700000"
"dc23366","destination charger","standard charger","","0","61.7320940000","9.3695350000"
"dc14174","destination charger","standard charger","","0","47.4496010000","12.1566270000"
"dc15183","destination charger","standard charger","","0","45.4102600000","11.8963880000"
