"location_id","location_type__001","location_type__002","open_soon","latitude","longitude"
"longviewwashingtonsupercharger","supercharger","standard charger","1","46.1381676000","-122.9381672000"
"longyanfujiansupercharger","supercharger","standard charger","1","25.1016260000","116.9712100000"
"losangelesdowntownsupercharger","supercharger","standard charger","1","34.0407130000","-118.2467693000"
"lugoessupercharger","supercharger","standard charger","1","43.0127400000","-7.5573500000"
"luzhousichuansupercharger","supercharger","standard charger","0","28.8804700000","105.4143520000"
"machenghubeisupercharger","supercharger","standard charger","1","31.1859350000","114.9508770000"
"mackinawcitymisupercharger","supercharger","standard charger","1","45.7774987000","-84.7271465000"
"malagaessupercharger","supercharger","standard charger","1","36.7237500000","-4.4244500000"
"malibucaliforniasupercharger","supercharger","standard charger","1","34.0259216000","-118.7797571000"
"manhattanbeachcasupercharger","supercharger","standard charger","1","33.8847361000","-118.4109089000"
"manresaessupercharger","supercharger","standard charger","1","41.7303200000","1.8263900000"
"mansfieldvicsupercharger","supercharger","standard charger","1","-37.0595850000","146.0832530000"
"maplecreeksksupercharger","supercharger","standard charger","1","49.9065950000","-109.4801740000"
"maplegrovemnsupercharger","supercharger","standard charger","1","45.0724642000","-93.4557877000"
"markarydsesupercharger","supercharger","standard charger","1","56.4617850000","13.5951940000"
"matehualaslpsupercharger","supercharger","standard charger","1","23.6448029000","-100.6427900000"
"mauihawaiisupercharger","supercharger","standard charger","1","20.7983626000","-156.3319253000"
"medicinehatabsupercharger","supercharger","standard charger","1","50.0405486000","-110.6764258000"
"medwaymesupercharger","supercharger","standard charger","1","45.6122644000","-68.5298394000"
"mehlvillemosupercharger","supercharger","standard charger","1","38.5083865000","-90.3228941000"
"melbournevicsupercharger","supercharger","standard charger","1","-37.8085830000","144.9720850000"
"mercedcaliforniasupercharger","supercharger","standard charger","1","37.3021632000","-120.4829677000"
"meridamxsupercharger","supercharger","standard charger","1","20.9673702000","-89.5925857000"
"merrilvilleinsupercharger","supercharger","standard charger","1","41.4828144000","-87.3328139000"
"esmeraldamxsupercharger","supercharger","standard charger","1","19.4892568000","-99.0851022000"
"pedregalmxsupercharger","supercharger","standard charger","1","19.3205752000","-99.2092897000"
"santafemxsupercharger","supercharger","standard charger","1","19.3863928000","-99.2255625000"
"balharbourmiamisupercharger","supercharger","standard charger","1","25.8892550000","-80.1229732000"
"southbeachmiamisupercharger","supercharger","standard charger","1","25.7826123000","-80.1340772000"
"miamicoralgablesupercharger","supercharger","standard charger","1","25.7214900000","-80.2683838000"
"miaolitwsupercharger","supercharger","standard charger","1","24.5663940000","120.8166250000"
"milpitascasupercharger","supercharger","standard charger","1","37.4323341000","-121.8995741000"
"minatitlanveracruzsupercharger","supercharger","standard charger","1","18.0005000000","-94.5573000000"
"missionviejocasupercharger","supercharger","standard charger","1","33.5968913000","-117.6581562000"
"mleihaaesupercharger","supercharger","standard charger","1","25.1446630000","55.8884280000"
"monctonnbsupercharger","supercharger","standard charger","1","46.0878165000","-64.7782313000"
"montelimarfrsupercharger","supercharger","standard charger","1","44.5571250000","4.7503940000"
"montluconfrsupercharger","supercharger","standard charger","1","46.3397240000","2.6027590000"
"montpellierfrsupercharger","supercharger","standard charger","1","43.6092550000","3.8762200000"
"montrosecosupercharger","supercharger","standard charger","1","38.4783198000","-107.8761738000"
"moosejawsksupercharger","supercharger","standard charger","1","50.3915811000","-105.5348562000"
"moosominsksupercharger","supercharger","standard charger","1","50.1435671000","-101.6668282000"
"morenovalleycasupercharger","supercharger","standard charger","1","33.9424658000","-117.2296717000"
"mtshastasupercharger","supercharger","standard charger","0","41.3103200000","-122.3159340000"
"sormashungarysupercharger","supercharger","","0","46.4605770000","16.9068680000"
"namurhungarysupercharger","supercharger","standard charger","1","50.4675210000","4.8664800000"
"nanjingcentersupercharger","supercharger","standard charger","1","32.2626320000","118.7661890000"
